Pride	E40303	FF8C00	FFED00	008026	24408E	732982
Lesbian	D52D00	EF7627	FF9A56	FFFFFF	D162A4	B55690	A30262
Gay	078D70	26CEAA	98E8C1	FFFFFF	7BADE2	5049CC	3D1A78
Bi	D60270	9B4F96	0038A8
Trans	5BCEFA	F5A9B8	FFFFFF	F5A9B8	5BCEFA
Pan	FF218C	FFD800	21B1FF
Genderfluid	FF76A4	FFFFFF	C011D7	000000	2F3CBE
Nonbinary	2F3CBE	FFFFFF	9C59D1	2C2C2C
Asexual	000000	A3A3A3	FFFFFF	800080
Aromantic	3DA542	A7D379	FFFFFF	A9A9A9	000000
Omni	FE9ACE	FF53BF	200044	6760FE	8EA6FF
Genderqueer	B57EDC	FFFFFF	4A8123
